"t","sv"
0,2.64705882352941
0.1,2.82941176470588
0.2,3.01176470588235
0.3,3.19411764705882
0.4,3.37647058823529
0.5,3.55882352941176
0.6,3.74117647058824
0.7,3.92352941176471
0.8,4.10588235294118
0.9,4.28823529411765
1,2.96078431372549
1.1,3.14313725490196
1.2,3.32549019607843
1.3,3.5078431372549
1.4,3.69019607843137
1.5,3.87254901960784
1.6,4.05490196078431
1.7,4.23725490196078
1.8,4.41960784313725
1.9,4.60196078431372
2,2.67647058823529
2.1,2.85882352941176
2.2,3.04117647058824
2.3,3.22352941176471
2.4,3.40588235294118
2.5,3.58823529411765
2.6,3.77058823529412
2.7,3.95294117647059
2.8,4.13529411764706
2.9,4.31764705882353
3,0
3.1,0
3.2,0
3.3,0
3.4,0
3.5,0
3.6,0
3.7,0
3.8,0
3.9,0
4,0
4.1,0
4.2,0
4.3,0
4.4,0
4.5,0
4.6,0
4.7,0
4.8,0
4.9,0
5,0
5.1,0
5.2,0
5.3,0
5.4,0
5.5,0
5.6,0
5.7,0
5.8,0
5.9,0
6,0
6.1,0
6.2,0
6.3,0
6.4,0
6.5,0
6.6,0
6.7,0
6.8,0
6.9,0
7,0
7.1,0
7.2,0
7.3,0
7.4,0
7.5,0
7.6,0
7.7,0
7.8,0
7.9,0
8,0
8.1,0
8.2,0
8.3,0
8.4,0
8.5,0
8.6,0
8.7,0
8.8,0
8.9,0
9,0
9.1,0
9.2,0
9.3,0
9.4,0
9.5,0
9.6,0
9.7,0
9.8,0
9.9,0
10,0
10.1,0
10.2,0
10.3,0
10.4,0
10.5,0
10.6,0
10.7,0
10.8,0
10.9,0
11,0
11.1,0
11.2,0
11.3,0
11.4,0
11.5,0
11.6,0
11.7,0
11.8,0
11.9,0
12,0
12.1,0
12.2,0
12.3,0
12.4,0
12.5,0
12.6,0
12.7,0
12.8,0
12.9,0
13,0
13.1,0
13.2,0
13.3,0
13.4,0
13.5,0
13.6,0
13.7,0
13.8,0
13.9,0
14,0
14.1,0
14.2,0
14.3,0
14.4,0
14.5,0
14.6,0
14.7,0
14.8,0
14.9,0
15,0
15.1,0.0647058823529409
15.2,0.247058823529413
15.3,0.429411764705883
15.4,0.611764705882354
15.5,0.794117647058824
15.6,0.976470588235294
15.7,1.15882352941177
15.8,1.34117647058823
15.9,1.52352941176471
16,1.70588235294118
16.1,1.88823529411765
16.2,2.07058823529412
16.3,2.25294117647059
16.4,2.43529411764706
16.5,2.61764705882353
16.6,2.8
16.7,2.98235294117647
16.8,3.16470588235294
16.9,3.34705882352941
17,3.52941176470588
17.1,3.71176470588235
17.2,3.89411764705882
17.3,4.07647058823529
17.4,4.25882352941176
17.5,4.44117647058824
17.6,4.62352941176471
17.7,4.80588235294118
17.8,4.98823529411765
17.9,5.17058823529412
18,5.35294117647059
18.1,5.53529411764706
18.2,5.71764705882353
18.3,5.9
18.4,6.08235294117647
18.5,6.26470588235294
18.6,6.44705882352941
18.7,6.62941176470588
18.8,6.81176470588235
18.9,6.99411764705882
19,7.17647058823529
19.1,7.35882352941177
19.2,7.54117647058824
19.3,7.72352941176471
19.4,7.90588235294118
19.5,8.08823529411765
19.6,8.27058823529412
19.7,8.45294117647059
19.8,8.63529411764706
19.9,8.81764705882353
